error_code,feature,error_description,error_cause,error_response,error_url
MANAGE-NOSUCHCOLLECTION,MANAGE,No such collection: variable1,The request specified a protected collection that does not exist.,Resubmit request with a valid collection name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHCOLLECTION
MANAGE-NOSUCHCPFCONFIG,MANAGE,No such cpf-config: variable1,The request specified a cpf-config that does not exist.,Resubmit request with a valid cpf-config.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHCPFCONFIG
MANAGE-NOSUCHDATABASE,MANAGE,No such database: variable1,The request specified a database that does not exist.,Resubmit request with a valid database.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHDATABASE
MANAGE-NOSUCHDOMAIN,MANAGE,No such domain: variable1,The request specified a domain that does not exist.,Resubmit request with a valid domain.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHDOMAIN
MANAGE-NOSUCHFLEXREPCONFIG,MANAGE,No such flexrep-config: variable1,The request specified a flexrep-config that does not exist.,Resubmit request with a valid flexrep-config.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHFLEXREPCONFIG
MANAGE-NOSUCHFLEXREPPULL,MANAGE,No such flexrep-pull: variable1,The request specified a flexrep-pull that does not exist.,Resubmit request with a valid flexrep-pull.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHFLEXREPPULL
MANAGE-NOSUCHFLEXREPTARGET,MANAGE,No such flexrep-target: variable1,The request specified a flexrep-target that does not exist.,Resubmit request with a valid flexrep-target.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHFLEXREPTARGET
MANAGE-NOSUCHFOREIGNCLUSTER,MANAGE,No such foreign cluster: variable1,The request specified a foreign cluster that does not exist.,Resubmit request with a valid cluster id.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHFOREIGNCLUSTER
MANAGE-NOSUCHLABEL,MANAGE,No such label: variable1,The request specified a label that does not exist.,Resubmit request with a valid label.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHLABEL
MANAGE-NOSUCHLOG,MANAGE,No such log: variable1,The request specified a log that does not exist.,Resubmit request with a valid log filename.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHLOG
MANAGE-NOSUCHMETER,MANAGE,No such meter: variable1,The request specified a meter that does not exist.,Resubmit request with a valid meter.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHMETER
MANAGE-NOSUCHPARTITION,MANAGE,No such partition: variable1,The request specified a partition that does not exist.,Resubmit request with a valid partition name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHPARTITION
MANAGE-NOSUCHPARTITIONQUERY,MANAGE,No such partition query: variable1,The request specified a partition query that does not exist.,Resubmit request with a valid partition query name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHPARTITIONQUERY
MANAGE-NOSUCHPIPELINE,MANAGE,No such pipeline: variable1,The request specified a pipeline that does not exist.,Resubmit request with a valid pipeline.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHPIPELINE
MANAGE-NOSUCHPROTECTEDPATH,MANAGE,No such protected-path: variable1,The request specified a protected-path that does not exist.,Resubmit request with a valid protected-path.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHPROTECTEDPATH
MANAGE-NOSUCHQUERYROLESET,MANAGE,No such query-roleset: variable1,The request specified a query-roleset that does not exist.,Resubmit request with a valid query-roleset.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHQUERYROLESET
MANAGE-NOSUCHRESOURCE,MANAGE,No such resource existed in specified time range: variable1 variable2,The request specified a search for a transient or currently existing resource .,Resubmit request with a different time range.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHRESOURCE
MANAGE-NOSUCHSUBDATABASE,MANAGE,No such partition: variable1,The request specified a subdatabase that does not exist.,Resubmit request with a valid subdatabase.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHSUBDATABASE
MANAGE-NOSUCHSUPERDATABASE,MANAGE,No such superdatabase: variable1,The request specified a superdatabase that does not exist.,Resubmit request with a valid superdatabase.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHSUPERDATABASE
MANAGE-NOSUCHTASK,MANAGE,No such task: variable1,The request specified a task that does not exist.,Resubmit request with a valid task id.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHTASK
MANAGE-NOSUCHTEMPORALAXIS,MANAGE,No such temporal axis: variable1,The request specified a temporal axis that does not exist.,Resubmit request with a valid temporal axis name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHTEMPORALAXIS
MANAGE-NOSUCHTEMPORALCOLLECTION,MANAGE,No such temporal collection: variable1,The request specified a temporal collection that does not exist.,Resubmit request with a valid temporal collection name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHTEMPORALCOLLECTION
MANAGE-NOSUCHTRANSACTION,MANAGE,No such transaction: variable1,The request specified a transaction that does not exist.,Resubmit request with a valid transaction id.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHTRANSACTION
MANAGE-NOSUCHTRIGGER,MANAGE,No such trigger: variable1,The request specified a trigger that does not exist.,Resubmit request with a valid trigger name.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHTRIGGER
MANAGE-NOSUCHVIEW,MANAGE,No such view: variable1,The request specified a view that does not exist.,Resubmit request with a valid view.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHVIEW
MANAGE-NOSUCHVIEWSCHEMA,MANAGE,No such view-schema: variable1,The request specified a view-schema that does not exist.,Resubmit request with a valid view-schema.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-NOSUCHVIEWSCHEMA
MANAGE-OPERATION,MANAGE,Error performing operation: variable1,The requested operation failed.,Correct the operation request.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-OPERATION
MANAGE-PLATFORM,MANAGE,Platform mismatch: variable1 variable2,The platform of the server attempting to join the cluster does not match the cluster host.,Members of a cluster must be on the same platform.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-PLATFORM
MANAGE-PLUGINBADVERSION,MANAGE,"Plugin version: variable1; expecting one of: variable2",The supplied version is not supported.,Refer to documentation for currently supported version(s).,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-PLUGINBADVERSION
MANAGE-PRECONDITIONFAILED,MANAGE,Precondition not met: variable1,The request requires a precondition which the server has detected has not been met.,Resubmit request which addresses all preconditions.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-PRECONDITIONFAILED
MANAGE-ROLLBACKOLDSTAMP,MANAGE,Non-blocking-timestamp is too old variable1,Minimum non-blocking-timestamp is too old for the forests to roll back to.,Check status of attached forests,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-ROLLBACKOLDSTAMP
MANAGE-SELFJOIN,MANAGE,A host is attempting to join itself: variable1,"The request to add this host to the cluster has been sent to itself; instead of to a member of the cluster.",Resubmit request to a member of the cluster.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-SELFJOIN
MANAGE-TIMESTAMPOLD,MANAGE,Config files out of date on host: variable1,"The request to make a configuration change has failed; because configuration files on the host are not in sync with cluster configuration.","Retry the request; after allowing time for cluster configuration to synchronize.",https://docs.marklogic.com/messages/MANAGE-en/MANAGE-TIMESTAMPOLD
MANAGE-UNSUPPORTEDOPERATION,MANAGE,Unsupported operation: variable1 must be one of: variable2,The specified operation is not supported on this endpoint.,Refer to documentation for supported operations.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-UNSUPPORTEDOPERATION
MANAGE-UNSUPPORTEDVERSION,MANAGE,Version no longer supported: variable1,The supplied version is no longer supported.,Refer to documentation for currently supported version(s).,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-UNSUPPORTEDVERSION
MANAGE-VERSION,MANAGE,Version mismatch: variable1 variable2,The version of the server attempting to join the cluster does not match the cluster host.,Members of a cluster must be on the same version.,https://docs.marklogic.com/messages/MANAGE-en/MANAGE-VERSION
OI-CONVERR,OI,Conversion failed: variable1: variable2.,,,https://docs.marklogic.com/messages/OI-en/OI-CONVERR
OI-FAILED,OI,Conversion failed due to abnormal process termination: variable1: variable2.,,,https://docs.marklogic.com/messages/OI-en/OI-FAILED
OI-WIN32EXCEPTION,OI,Conversion failed due to WIN32 exception: variable1: variable2.,,,https://docs.marklogic.com/messages/OI-en/OI-WIN32EXCEPTION
OPTIC-INTERNALERROR,OPTIC,Internal error: variable1,An unmanaged error occurred.,,https://docs.marklogic.com/messages/OPTIC-en/OPTIC-INTERNALERROR
OPTIC-INVALARGS,OPTIC,Invalid arguments: variable1,Supplied arguments are invalid.,The error message describes the acceptable combinations of arguments.,https://docs.marklogic.com/messages/OPTIC-en/OPTIC-INVALARGS
OPTIC-INVALPARSE,OPTIC,Invalid parse input: variable1,Supplied input for parsing is invalid.,The error message describes the acceptable input for parsing.,https://docs.marklogic.com/messages/OPTIC-en/OPTIC-INVALPARSE
PKG-BADFORMAT,PKG,Invalid format: variable1,Uploading an invalid media type.,Upload a valid media type.,https://docs.marklogic.com/messages/PKG-en/PKG-BADFORMAT
PKG-BADTKTSTATE,PKG,Ticket is not in 'complete' state: variable1,Packaging ticket is not in a completed state,Only attempt to revert packages that are completed,https://docs.marklogic.com/messages/PKG-en/PKG-BADTKTSTATE
PKG-CANNOTSPEC,PKG,Cannot specify a database or server when uploading a set,Specifying a database or server name when uploading a set,Upload databases and servers individually or do not specify names.,https://docs.marklogic.com/messages/PKG-en/PKG-CANNOTSPEC
PKG-DOESNOTEXIST,PKG,There is no package named: variable1,A request to access a package that does not exist.,Use a different package name.,https://docs.marklogic.com/messages/PKG-en/PKG-DOESNOTEXIST
PKG-EXISTS,PKG,A package with this name already exists: variable1,A request to create a package with a name that already exists.,Use a different package name.,https://docs.marklogic.com/messages/PKG-en/PKG-EXISTS
PKG-INVALID,PKG,Invalid package: variable1. variable2,Attempting to upload or install a package that is invalid.,Correct the errors and try again.,https://docs.marklogic.com/messages/PKG-en/PKG-INVALID
PKG-INVALIDBIN,PKG,Invalid binary (not a zip or not a valid package),Uploading invalid binary data.,Upload only valid binary data.,https://docs.marklogic.com/messages/PKG-en/PKG-INVALIDBIN
PKG-INVALIDJSON,PKG,Invalid JSON: variable1,Uploading invalid JSON.,Upload only valid JSON.,https://docs.marklogic.com/messages/PKG-en/PKG-INVALIDJSON
PKG-INVALIDNAME,PKG,Invalid package name: 'variable1' package name must be NCName,Attempting to create or access a package using an invalid name.,Use a different name.,https://docs.marklogic.com/messages/PKG-en/PKG-INVALIDNAME
PKG-INVALIDROOT,PKG,Modules root path must begin with a slash: variable1,Using a modules root path that isn't rooted at '/'.,"Try again; using a fully qualified modules root path.",https://docs.marklogic.com/messages/PKG-en/PKG-INVALIDROOT
PKG-INVALIDXML,PKG,Invalid root element in XML document: variable1,Uploading invalid XML.,Upload only valid XML.,https://docs.marklogic.com/messages/PKG-en/PKG-INVALIDXML
PKG-MODTOOBIG,PKG,Modules database is too large: variable1,Attempting to package a modules database that is too large.,Remove some content from the modules database.,https://docs.marklogic.com/messages/PKG-en/PKG-MODTOOBIG
PKG-NOBINARY,PKG,Binary content cannot be sent to this endpoint,Uploading binary content to an endpoint that only expects XML or JSON,Upload XML or JSON.,https://docs.marklogic.com/messages/PKG-en/PKG-NOBINARY
PKG-NODATABASE,PKG,There is no database named: variable1 in the package variable2,Request to get a non-existent database from a package.,Use a different database name.,https://docs.marklogic.com/messages/PKG-en/PKG-NODATABASE
PKG-NOFNDIFF,PKG,The filename option is not supported for the differences view,Requesting a filename when view=differences,Do not specify a filename.,https://docs.marklogic.com/messages/PKG-en/PKG-NOFNDIFF
PKG-NOMODDB,PKG,Server 'variable2' in group 'variable1' does not have a modules database,Attempting to add modules to a package for a server that doesn't have a modules database,Move the modules to a modules database or choose a different server,https://docs.marklogic.com/messages/PKG-en/PKG-NOMODDB
PKG-NOMODROOT,PKG,Server 'variable2' in group 'variable1' does not have a modules root,Attempting to add modules to a package for a server that doesn't have a modules root,Add a root path or choose a different server,https://docs.marklogic.com/messages/PKG-en/PKG-NOMODROOT
PKG-NOREVERTPKG,PKG,No revert package exists for this ticket: variable1,The revert ZIP file is missing from the ticket,You cannot revert this ticket,https://docs.marklogic.com/messages/PKG-en/PKG-NOREVERTPKG
PKG-NOSERVER,PKG,There is no server named: 'variable2' in group 'variable1' in the package variable3,Request to get a non-existent server from a package.,Use a different server name.,https://docs.marklogic.com/messages/PKG-en/PKG-NOSERVER
PKG-NOTADMIN,PKG,You do not have credentials to access server module database content.,You are logged in as a user with manage privileges but not manage-admin privileges,Do not attempt to access the modules database content or login as a user with manage-admin privileges,https://docs.marklogic.com/messages/PKG-en/PKG-NOTADMIN
PKG-NOTPKGTKT,PKG,Ticket is not a package install ticket: variable1,Attempt to revert a non-packaging ticket.,Only attempt to revert packaging tickets.,https://docs.marklogic.com/messages/PKG-en/PKG-NOTPKGTKT
PKG-NOTXML,PKG,Uploaded data is not well-formed XML,Uploading non-XML data with a format or content type that specifies XML.,Fix the XML or change the format or content type to match the data.,https://docs.marklogic.com/messages/PKG-en/PKG-NOTXML
PKG-NOZIPDIFF,PKG,ZIP format is not supported for the differences view,Requesting format=zip when view=differences,Do not specify format=zip.,https://docs.marklogic.com/messages/PKG-en/PKG-NOZIPDIFF
PKG-ROLLUPG,PKG,Cannot install packages during rolling upgrade,You are attempting to install a package during rolling upgrade.,Complete the upgrade process before attempting to install the package,https://docs.marklogic.com/messages/PKG-en/PKG-ROLLUPG
PKG-UNKSERVERTYPE,PKG,Unknown server type (variable1): server 'variable3' in group 'variable2',Attempting to package a server with an unknown type.,Report bug.,https://docs.marklogic.com/messages/PKG-en/PKG-UNKSERVERTYPE
PKG-UNSUPFORMAT,PKG,Format unsupported on this endpoint: variable1,Requesting an unsupported format.,Request a supported format.,https://docs.marklogic.com/messages/PKG-en/PKG-UNSUPFORMAT
PKI-BADCERTIFICATE,PKI,Bad certificate. Certificate position in the list of certificates: variable1,Certificate being imported is bad.,,https://docs.marklogic.com/messages/PKI-en/PKI-BADCERTIFICATE
PKI-BADCERTREQVER,PKI,Bad X509 certificate request version: variable1,A incorrect version number was specified in the certificate request.,A certificate request should always have a version of 0,https://docs.marklogic.com/messages/PKI-en/PKI-BADCERTREQVER
PKI-BADCNTRY,PKI,bad country code: variable1,The wrong country code was specified for the certificate request template.,"Check to be sure the country code exists and is two characters; such as US; UK; DE; FR; ES; etc.",https://docs.marklogic.com/messages/PKI-en/PKI-BADCNTRY
PKI-BADKEYTYPE,PKI,bad key type: 'variable1',,,https://docs.marklogic.com/messages/PKI-en/PKI-BADKEYTYPE
PKI-CERTISCA,PKI,Expecting a certificate instead of a certificate authority.,,,https://docs.marklogic.com/messages/PKI-en/PKI-CERTISCA
PKI-DUPNAME,PKI,duplicate certificate template name: 'variable1',,,https://docs.marklogic.com/messages/PKI-en/PKI-DUPNAME
PKI-INVALID,PKI,invalid template id: variable1,Template id was invalid.,Check template id for spelling and that the template was created and try again.,https://docs.marklogic.com/messages/PKI-en/PKI-INVALID
PKI-NONAME,PKI,no name,Seen when the certificate template name is missing while creating a new (pki) public infrastructure state in the security database.,Add a certificate template name when creating a new (pki) public infrastructure state in the security database.,https://docs.marklogic.com/messages/PKI-en/PKI-NONAME
PKI-NOORGNAME,PKI,no organization name,,,https://docs.marklogic.com/messages/PKI-en/PKI-NOORGNAME
PKI-NOREQ,PKI,no requests found: variable1,,,https://docs.marklogic.com/messages/PKI-en/PKI-NOREQ
PKI-TMPLINUSE,PKI,template in use: variable1,,,https://docs.marklogic.com/messages/PKI-en/PKI-TMPLINUSE
PKI-TOOMANYREQ,PKI,too many requests found: variable1 for variable2,,,https://docs.marklogic.com/messages/PKI-en/PKI-TOOMANYREQ
PROF-PROFILEALLOW,PROF,"Profiling not enabled on app server; request id: variable1",An attempt was made to perform a profiling operation such as prof:eval on an App Server that disallows profiling.,Enable profiling on that App Server.,https://docs.marklogic.com/messages/PROF-en/PROF-PROFILEALLOW
RDT-BADRULE,RDT,Rule schema validation failed variable1 -- variable2,,Check the Redaction rule format and validate against the schema,https://docs.marklogic.com/messages/RDT-en/RDT-BADRULE
RDT-DICTIONARYNOTFOUND,RDT,Redaction dictionary not found: variable1,No Redaction dictionary document is found,,https://docs.marklogic.com/messages/RDT-en/RDT-DICTIONARYNOTFOUND
RDT-INVALIDARG,RDT,variable1,,,https://docs.marklogic.com/messages/RDT-en/RDT-INVALIDARG
RDT-INVALIDDICTIONARY,RDT,Invalid Redaction dictionary: variable1,,Check the Redaction dictionary format,https://docs.marklogic.com/messages/RDT-en/RDT-INVALIDDICTIONARY
RDT-INVALIDOPTION,RDT,Invalid option(s) variable1 provided to redaction function variable2: variable3,,,https://docs.marklogic.com/messages/RDT-en/RDT-INVALIDOPTION
RDT-INVALIDRULEPATH,RDT,Invalid rule path: variable1,The xpath used as rule path is invalid or not supported by XSLT,Check XSLT template patterns for supported xpath patterns,https://docs.marklogic.com/messages/RDT-en/RDT-INVALIDRULEPATH
RDT-NODE,RDT,Unsupported node type: variable1,,,https://docs.marklogic.com/messages/RDT-en/RDT-NODE
RDT-NORULE,RDT,No rule found in rule collection: variable1,No rule document is found in given collection,Make sure rule documents are in the given collection and the user has the access to the documents,https://docs.marklogic.com/messages/RDT-en/RDT-NORULE
RDT-NOSCHEMADB,RDT,No schema database for redaction resource: variable1,The content database does not have a schema database.,Make sure that the correct schema database is attached to the content database.,https://docs.marklogic.com/messages/RDT-en/RDT-NOSCHEMADB
RDT-NOTNODE,RDT,"Not-node returned from redaction function: variable1; module: variable2; rule: variable3","Redaction functions must return a node; not a simple value",Use a NodeBuilder to construct the return node in JavaScript,https://docs.marklogic.com/messages/RDT-en/RDT-NOTNODE
RDT-WRONGNODETYPE,RDT,Invalid node type returned from redaction function: variable1,,,https://docs.marklogic.com/messages/RDT-en/RDT-WRONGNODETYPE
REST-FAILEDACCEPT,REST,: variable1 is not a matching user agent string,Logged in user has insufficient privileges.,Check the documentation and update privileges accordingly,https://docs.marklogic.com/messages/REST-en/REST-FAILEDACCEPT
REST-FAILEDAUTH,REST,User does not have necessary privilege,"Logged in user has insufficient privileges. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 403 Forbidden.",Check the documentation and update privileges accordingly,https://docs.marklogic.com/messages/REST-en/REST-FAILEDAUTH
REST-FAILEDFUNCTION,REST,User defined condition function returned false: {variable1}variable2,The user-defined condition function returned false.,Check the documentation for that condition and adjust accordingly.,https://docs.marklogic.com/messages/REST-en/REST-FAILEDFUNCTION
REST-FAILEDUSERAGENT,REST,Invalid user agent: variable1 is not a matching user agent string,Logged in user has insufficient privileges.,Check the documentation and update privileges accordingly,https://docs.marklogic.com/messages/REST-en/REST-FAILEDUSERAGENT
REST-INCORRECTURI,REST,Incorrect URI: variable1 does not match variable2,The REST library was called with an invalid request configuration,This error corresponds to an HTTP code 400 Bad Request. Check the configuration and correct the incorrect URI.,https://docs.marklogic.com/messages/REST-en/REST-INCORRECTURI
REST-INVALIDCONDITION,REST,Invalid condition: variable1 is not a valid condition,A REST endpoint was configured with an invalid condition.,This error corresponds to an HTTP code 400 Bad Request. Check the declaration of the endpoint and correct the invalid condition.,https://docs.marklogic.com/messages/REST-en/REST-INVALIDCONDITION
REST-INVALIDCRITERIA,REST,"Invalid criterion: ""variable1"" is not valid; must be one of: variable2",The rewriter was called with invalid matching criteria.,Check the calling function and invoke it with valid criteria.,https://docs.marklogic.com/messages/REST-en/REST-INVALIDCRITERIA
REST-INVALIDMIMETYPE,REST,"Content-Type must be one of: variable1; Received: variable2",The client-supplied Content-Type header is not an acceptable mimetype for this endpoint.,Resubmit the request with an acceptable content-type header and body (see message details).,https://docs.marklogic.com/messages/REST-en/REST-INVALIDMIMETYPE
REST-INVALIDPARAM,REST,Invalid parameter: variable1,A REST endpoint was called with an invalid parameter.,This error should throw an HTTP 400 Bad Request. Check the documentation for form parameters for the REST endpoint that threw this error. Adjust the client call accordingly.,https://docs.marklogic.com/messages/REST-en/REST-INVALIDPARAM
REST-INVALIDREQUEST,REST,Invalid request: variable1,The request is invalid.,Correct the request.,https://docs.marklogic.com/messages/REST-en/REST-INVALIDREQUEST
REST-INVALIDTYPE,REST,Invalid type in variable1: variable2 variable3 variable4,"A REST endpoint was configured with an invalid type. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 406.",This error corresponds to an HTTP code 400 Bad Request. Check the declaration of the endpoint and correct the invalid type.,https://docs.marklogic.com/messages/REST-en/REST-INVALIDTYPE
REST-MULTIPLEPATTERNS,REST,Multiple patterns match the parameter: variable1,A REST endpoint was called with a parameter name that matches more than one parameter in the endpoint description.,This error should throw an HTTP 400 Bad Request. Check the documentation for parameter patterns or URI parameters for the REST endpoint that threw this error. Adjust the client call accordingly.,https://docs.marklogic.com/messages/REST-en/REST-MULTIPLEPATTERNS
REST-REPEATEDPARAM,REST,Endpoint does not support repeated parameter: variable1 can only appear once,"A parameter which cannot be repeated is being repeated. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 400.",Remove all but one instance of the offending parameter.,https://docs.marklogic.com/messages/REST-en/REST-REPEATEDPARAM
REST-REQUIREDPARAM,REST,Required parameter: variable1,"Required parameter is not provided. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 400.",Provide the required parameter.,https://docs.marklogic.com/messages/REST-en/REST-REQUIREDPARAM
REST-UNACCEPTABLETYPE,REST,No acceptable content type: None of the requested types variable1 can be provided,None of the acceptable types indicated by the caller can be provided.,"Check the documentation for the Accept types that the endpoint supports. Include at least one of the supported MIME types in the Accept header. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 406.",https://docs.marklogic.com/messages/REST-en/REST-UNACCEPTABLETYPE
REST-UNSUPPORTEDMETHOD,REST,Endpoint does not support method: variable1,"A client has submitted an HTTP method that the matched REST API endpoint does not support. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 405.","This error is a standard wrapper for HTTP Response Code 405 Method Not Allowed. For example; your client has submitted a PUT request; and the endpoint does not support this verb. Check your client and the server endpoint for whether this error is appropriate for the given scenario.",https://docs.marklogic.com/messages/REST-en/REST-UNSUPPORTEDMETHOD
REST-UNSUPPORTEDPARAM,REST,Endpoint does not support query parameter: variable1,"An unsupported query parameter is included. When this error is reported by a MarkLogic REST API instance; MarkLogic Server returns status code 400.",Remove the unsupported parameter.,https://docs.marklogic.com/messages/REST-en/REST-UNSUPPORTEDPARAM
RESTAPI-CONTENTNOVERSION,RESTAPI,No content version supplied: variable1,"The content-versions instance configuration property is set to ""required""; but the request does not include a version id in an If-match header. MarkLogic Server returns status 403.","Supply a version id in the If-Match header; or modify the content versioning policy.",https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-CONTENTNOVERSION
RESTAPI-CONTENTWRONGVERSION,RESTAPI,Content version mismatch: variable1,"In a conditional PUT; the content version id does not match the version supplied in the If-match header. MarkLogic Server returns status 412.",,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-CONTENTWRONGVERSION
RESTAPI-EXTNERR,RESTAPI,Extension Error: code: variable1 message: variable2 format: variable3 document: variable4,,,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-EXTNERR
RESTAPI-INTERNALERROR,RESTAPI,Internal error: variable1,An unexpected error occurred. See the request body for details. MarkLogic Server returns status 500.,,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-INTERNALERROR
RESTAPI-INVALIDCONTENT,RESTAPI,Invalid content: variable1,"The request payload does not have the expected format. For example; contains syntactically invalid XML or JSON; or contains an XML node or JSON object with the wrong structure. MarkLogic Server returns status 400.",Correct the request payload.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-INVALIDCONTENT
RESTAPI-INVALIDMIMETYPE,RESTAPI,Invalid mime type: reason: variable1,The request payload has unexpected MIME type. MarkLogic Server returns status 415.,Set the Content-type to a supported MIME type.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-INVALIDMIMETYPE
RESTAPI-INVALIDREQ,RESTAPI,Invalid request: reason: variable1,"The request is malformed. For example; it includes unrecognized parameters; an unsupported combination of parameters; or uses an HTTP method not supported by this service. MarkLogic Server returns status 400.",Correct the request.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-INVALIDREQ
RESTAPI-INVALIDRESULT,RESTAPI,Invalid result: reason: variable1,"The operation produced an unexpected result; such as repair producing multiple documents when inserting an XML document. MarkLogic Server returns status 400.",,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-INVALIDRESULT
RESTAPI-NODOCUMENT,RESTAPI,Resource or document does not exist: category: variable1 message: variable2,The requested document or other asset does not exist. MarkLogic Server returns status 404.,Correct the request.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-NODOCUMENT
RESTAPI-NORANGEMATCH,RESTAPI,No Range Matched: range: variable1,A range request on a binary document cannot be satisfied. MarkLogic Server returns status 416.,Correct the request.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-NORANGEMATCH
RESTAPI-OPENTRANSACTIONS,RESTAPI,Open Transactions: variable1,You attempted to remove a MarkLogic REST API instance with open transactions. MarkLogic Server returns status 409.,Resolve the open transactions and try again.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-OPENTRANSACTIONS
RESTAPI-SRVEXERR,RESTAPI,Extension Error: code: variable1 message: variable2 document: variable3,,,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-SRVEXERR
RESTAPI-UNSUPPORTEDPROP,RESTAPI,Unsupported property: : variable1,The property is invalid or deprecated. MarkLogic Server returns status 400.,Get the property list at /v1/config/properties to see all supported properties.,https://docs.marklogic.com/messages/RESTAPI-en/RESTAPI-UNSUPPORTEDPROP
SEARCH-APPLYUNDEFINED,SEARCH,Value of @apply undefined: variable1,The Search API cannot find a function to apply.,"Check the function in your search options node; and ensure that the function named in the error message has been defined. You may need to specify a namespace (@ns) and file path (@at) if the function is an extension located in a custom XQuery module; or a user-defined function (@udf) if the function is a user-defined aggregate function.",https://docs.marklogic.com/messages/SEARCH-en/SEARCH-APPLYUNDEFINED
SEARCH-BADEXTENSION,SEARCH,"Extensions must define @apply; @ns and @at","Implementation of a custom constraint requires implementation of a parsing function. A custom constraint has been specified; but the configuration is incorrect or does not refer to a parsing function.","Check your search options node with search:check-options to ensure it is valid. Validate that the custom library module is available at the expected path; and that the namespace and local name correctly refer to a function in that module.",https://docs.marklogic.com/messages/SEARCH-en/SEARCH-BADEXTENSION
SEARCH-BADORDERBY,SEARCH,"Indexes are required to support element; element-attribute; json-property; or field sort specifications.","Sorting without index support will not perform well at scale; so it not a supported configuration in the Search API.",Check your search options node with search:check-options in strict mode to identify the missing index.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-BADORDERBY
SEARCH-INVALAGGREGATE,SEARCH,Invalid aggregate function: function variable1 is invalid for variable2,Supplied aggregate function name is invalid.,Check the values or tuples configuration to ensure that the named aggregate is supported.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-INVALAGGREGATE
SEARCH-INVALARGS,SEARCH,Invalid arguments: variable1,Supplied arguments are invalid.,The error message describes the acceptable combinations of arguments.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-INVALARGS
SEARCH-NOANCHOR,SEARCH,Computed bucket requires an anchor: variable1,"In most cases; computed buckets require an anchor in order to resolve relative dates. This error indicates a missing anchor.",Examine search options for computed buckets to ensure that anchors are present.,https://docs.marklogic.com/messages/SEARCH-en/SEARCH-NOANCHOR
